Year,Month,Region,Model,Units_Sold,Avg_Price_EUR,Revenue_EUR,BEV_Share,Premium_Share,GDP_Growth,Fuel_Price_Index
2018,7,USA,MINI,8042.0,40645,326867090,0.019,16.36,0.99,1.03
2018,7,RestOfWorld,3 Series,7657.0,49097,375935729,0.023,6.45,2.99,1.01
2018,7,RestOfWorld,5 Series,8375.0,63371,530732125,0.038,6.45,2.99,1.01
2018,7,RestOfWorld,X3,8520.0,58187,495753240,0.026,6.45,2.99,1.01
2018,7,RestOfWorld,X5,4320.0,69137,298671840,0.012,6.45,2.99,1.01
2018,7,RestOfWorld,X7,4111.0,92892,381879012,0.028,6.45,2.99,1.01
2018,7,RestOfWorld,i4,4299.0,65306,280750494,0.02,6.45,2.99,1.01
2018,7,RestOfWorld,iX,5931.0,73260,434505060,0.013,6.45,2.99,1.01
2018,7,RestOfWorld,MINI,8111.0,41673,338009703,-0.001,6.45,2.99,1.01
2018,8,Europe,3 Series,5065.0,49621,251330365,0.019,18.77,2.4,1.02
2018,8,Europe,5 Series,5690.0,63677,362322130,0.01,18.77,2.4,1.02
2018,8,Europe,X3,11219.0,58635,657826065,0.022,18.77,2.4,1.02
2018,8,Europe,X5,10128.0,68570,694476960,0.021,18.77,2.4,1.02
2018,8,Europe,X7,4807.0,91855,441546985,0.025,18.77,2.4,1.02
2018,8,Europe,i4,7569.0,66911,506449359,0.036,18.77,2.4,1.02
2018,8,Europe,iX,10985.0,74314,816339290,0.028,18.77,2.4,1.02
2018,8,Europe,MINI,6954.0,43236,300663144,0.026,18.77,2.4,1.02
2018,8,China,3 Series,6390.0,48449,309589110,0.028,17.66,3.54,1.03
2018,8,China,5 Series,8970.0,63762,571945140,0.003,17.66,3.54,1.03
2018,8,China,X3,9788.0,58190,569563720,0.031,17.66,3.54,1.03
2018,8,China,X5,11099.0,69712,773733488,0.012,17.66,3.54,1.03
2018,8,China,X7,4457.0,91997,410030629,0.018,17.66,3.54,1.03
2018,8,China,i4,5877.0,65151,382892427,0.028,17.66,3.54,1.03
2018,8,China,iX,6192.0,75626,468276192,-0.003,17.66,3.54,1.03
2018,8,China,MINI,3516.0,42601,149785116,0.034,17.66,3.54,1.03
2018,8,USA,3 Series,10610.0,48597,515614170,0.022,18.34,3.34,0.99
2018,8,USA,5 Series,3439.0,63068,216890852,0.022,18.34,3.34,0.99
2018,8,USA,X3,3277.0,57857,189597389,0.016,18.34,3.34,0.99
2018,8,USA,X5,6756.0,68658,463853448,0.016,18.34,3.34,0.99
2018,8,USA,X7,4146.0,93230,386531580,0.03,18.34,3.34,0.99
2018,8,USA,i4,8427.0,64900,546912300,0.015,18.34,3.34,0.99
2018,8,USA,iX,8416.0,76719,645667104,0.021,18.34,3.34,0.99
2018,8,USA,MINI,4627.0,42891,198456657,0.045,18.34,3.34,0.99
2018,8,RestOfWorld,3 Series,4385.0,48070,210786950,0.008,6.43,4.33,1.06
2018,8,RestOfWorld,5 Series,3148.0,60345,189966060,0.013,6.43,4.33,1.06
2018,8,RestOfWorld,X3,10501.0,59005,619611505,0.023,6.43,4.33,1.06
2018,8,RestOfWorld,X5,3309.0,70040,231762360,0.009,6.43,4.33,1.06
2018,8,RestOfWorld,X7,9775.0,93051,909573525,0.026,6.43,4.33,1.06
2018,8,RestOfWorld,i4,6603.0,66055,436161165,0.036,6.43,4.33,1.06
2018,8,RestOfWorld,iX,6057.0,73603,445813371,0.012,6.43,4.33,1.06
2018,8,RestOfWorld,MINI,8097.0,41013,332082261,0.025,6.43,4.33,1.06
2018,9,Europe,3 Series,13086.0,46566,609362676,0.015,15.16,2.67,0.99
2018,9,Europe,5 Series,9915.0,60935,604170525,0.03,15.16,2.67,0.99
2018,9,Europe,X3,5728.0,56201,321919328,0.034,15.16,2.67,0.99
2018,9,Europe,X5,6607.0,69360,458261520,0.013,15.16,2.67,0.99
2018,9,Europe,X7,7383.0,92291,681384453,0.011,15.16,2.67,0.99
2018,9,Europe,i4,3339.0,64625,215782875,0.022,15.16,2.67,0.99
2018,9,Europe,iX,11520.0,73417,845763840,0.007,15.16,2.67,0.99
2018,9,Europe,MINI,9889.0,43600,431160400,0.007,15.16,2.67,0.99
2018,9,China,3 Series,4075.0,46709,190339175,0.02,20.39,2.56,1.0
2018,9,China,5 Series,6679.0,61879,413289841,0.007,20.39,2.56,1.0
2018,9,China,X3,9702.0,58713,569633526,0.013,20.39,2.56,1.0
2018,9,China,X5,8896.0,70120,623787520,0.029,20.39,2.56,1.0
2018,9,China,X7,3812.0,90147,343640364,0.02,20.39,2.56,1.0
2018,9,China,i4,6821.0,63341,432048961,0.024,20.39,2.56,1.0
2018,9,China,iX,8450.0,74792,631992400,0.02,20.39,2.56,1.0
2018,9,China,MINI,4684.0,43212,202405008,0.022,20.39,2.56,1.0
2018,9,USA,3 Series,5036.0,47500,239210000,0.043,19.6,1.64,0.94
2018,9,USA,5 Series,12074.0,63215,763257910,0.014,19.6,1.64,0.94
2018,9,USA,X3,10654.0,56987,607139498,0.034,19.6,1.64,0.94
2018,9,USA,X5,8505.0,69161,588214305,-0.007,19.6,1.64,0.94
2018,9,USA,X7,9126.0,93335,851775210,0.016,19.6,1.64,0.94
2018,9,USA,i4,11591.0,66714,773281974,0.022,19.6,1.64,0.94
2018,9,USA,iX,8110.0,76451,620017610,0.028,19.6,1.64,0.94
2018,9,USA,MINI,2809.0,43547,122323523,0.007,19.6,1.64,0.94
2018,9,RestOfWorld,3 Series,12120.0,48626,589347120,0.021,5.51,4.22,0.93
2018,9,RestOfWorld,5 Series,10689.0,63680,680675520,0.019,5.51,4.22,0.93
2018,9,RestOfWorld,X3,6792.0,58143,394907256,0.016,5.51,4.22,0.93
2018,9,RestOfWorld,X5,8477.0,70149,594653073,0.018,5.51,4.22,0.93
2018,9,RestOfWorld,X7,5541.0,90822,503244702,0.017,5.51,4.22,0.93
2018,9,RestOfWorld,i4,3787.0,65001,246158787,0.009,5.51,4.22,0.93
2018,9,RestOfWorld,iX,9515.0,76156,724624340,0.034,5.51,4.22,0.93
2018,9,RestOfWorld,MINI,7416.0,43695,324042120,0.028,5.51,4.22,0.93
2018,10,Europe,3 Series,10644.0,49594,527878536,0.022,16.95,3.33,0.96
2018,10,Europe,5 Series,6973.0,63070,439787110,0.027,16.95,3.33,0.96
2018,10,Europe,X3,3713.0,57555,213701715,0.017,16.95,3.33,0.96
2018,10,Europe,X5,3138.0,67933,213173754,0.019,16.95,3.33,0.96
2018,10,Europe,X7,3590.0,92987,333823330,-0.001,16.95,3.33,0.96
2018,10,Europe,i4,8061.0,64523,520119903,0.037,16.95,3.33,0.96
2018,10,Europe,iX,3692.0,73127,269984884,0.03,16.95,3.33,0.96
2018,10,Europe,MINI,6964.0,42768,297836352,0.02,16.95,3.33,0.96
2018,10,China,3 Series,6206.0,47781,296528886,0.007,19.19,5.28,0.92
2018,10,China,5 Series,3610.0,63306,228534660,0.027,19.19,5.28,0.92
2018,10,,X3,4788.0,59180,283353840,0.02,19.19,5.28,0.92
2018,10,China,X5,10921.0,67074,732515154,0.023,19.19,5.28,0.92
2018,10,China,X7,9006.0,93088,838350528,0.004,19.19,5.28,0.92
2018,10,China,i4,7881.0,66224,521911344,0.026,19.19,5.28,0.92
2018,10,China,iX,9158.0,76945,704662310,0.015,19.19,5.28,0.92
2018,10,China,MINI,2698.0,42074,113515652,0.025,19.19,5.28,0.92
2018,10,USA,3 Series,10588.0,49028,519108464,0.032,18.66,4.62,1.05
2018,10,USA,5 Series,9635.0,60701,584854135,0.023,18.66,4.62,1.05
2018,10,USA,X3,4921.0,57845,284655245,0.001,18.66,4.62,1.05
2018,10,USA,X5,3691.0,70776,261234216,0.01,18.66,4.62,1.05
2018,10,USA,X7,5097.0,90028,458872716,0.021,18.66,4.62,1.05
2018,10,USA,i4,10298.0,66850,688421300,0.018,18.66,4.62,1.05
2018,10,USA,iX,7519.0,73186,550285534,0.028,18.66,4.62,1.05
2018,10,USA,MINI,11344.0,41333,468881552,0.019,18.66,4.62,1.05
2018,10,RestOfWorld,3 Series,8276.0,46750,386903000,0.002,6.87,5.08,0.99
2018,10,RestOfWorld,5 Series,4048.0,63315,256299120,0.019,6.87,5.08,0.99
2018,10,RestOfWorld,X3,9120.0,58120,530054400,0.015,6.87,5.08,0.99
2018,10,RestOfWorld,X5,4600.0,68040,312984000,0.043,6.87,5.08,0.99
2018,10,RestOfWorld,X7,7847.0,92089,722622383,0.04,6.87,5.08,0.99
2018,10,RestOfWorld,i4,9946.0,63130,627890980,0.02,6.87,5.08,0.99
2018,10,RestOfWorld,iX,3564.0,75864,270379296,0.03,6.87,5.08,0.99
2018,10,RestOfWorld,MINI,5228.0,41040,214557120,0.014,6.87,5.08,0.99
2018,11,Europe,3 Series,3648.0,47508,173309184,0.033,15.3,2.93,1.02
2018,11,Europe,5 Series,4674.0,63023,294569502,0.027,15.3,2.93,1.02
2018,11,Europe,X3,10830.0,56488,611765040,0.034,15.3,2.93,1.02
2018,11,Europe,X5,10016.0,68561,686706976,0.03,15.3,2.93,1.02
2018,11,Europe,X7,10201.0,90400,922170400,0.021,15.3,2.93,1.02
2018,11,Europe,i4,7992.0,66028,527695776,0.015,15.3,2.93,1.02
2018,11,Europe,iX,5374.0,75735,406999890,0.009,15.3,2.93,1.02
2018,11,Europe,MINI,9981.0,41521,414421101,0.031,15.3,2.93,1.02
2018,11,China,3 Series,4673.0,49561,231598553,0.015,19.22,4.36,0.99
2018,11,China,5 Series,2958.0,61296,181313568,0.029,19.22,4.36,0.99
2018,11,China,X3,9683.0,58235,563889505,0.006,19.22,4.36,0.99
2018,11,China,X5,9956.0,68121,678212676,0.025,19.22,4.36,0.99
2018,11,China,X7,2498.0,90182,225274636,0.01,19.22,4.36,0.99
2018,11,China,i4,9144.0,63363,579391272,0.033,19.22,4.36,0.99
2018,11,China,iX,10193.0,74372,758073796,0.024,19.22,4.36,0.99
2018,11,China,MINI,3249.0,43468,141227532,0.001,19.22,4.36,0.99
2018,11,USA,3 Series,10451.0,46250,483358750,0.023,18.31,3.87,1.01
2018,11,USA,5 Series,5994.0,61914,371112516,0.02,18.31,3.87,1.01
